Date,Customer,Product,Region,Sales_Rep,Quantity,Unit_Price,Discount_Percent,Total_Amount
2023-01-02,Innovate Ltd,Software License,South,Emma Brown,7,6219.51,0,43536.57
2023-01-03,Zenith Systems,Cloud Storage,West,Bob Smith,3,1474.52,10,3981.21
2023-01-05,Acme Corp,Consulting Services,North,Alice Johnson,5,9234.18,5,43862.36
2023-01-07,TechStart Inc,Hardware,East,Carol Davis,2,4128.45,0,8256.90
2023-01-09,Global Solutions,Training Package,Central,David Wilson,8,2156.78,10,15529.82
2023-01-12,FutureTech,Support Contract,North,Alice Johnson,4,5234.89,0,20939.56
2023-01-15,DataDrive Co,Data Analytics Tool,West,Bob Smith,6,7123.45,5,40630.67
2023-01-18,CloudNine Systems,API Access,South,Emma Brown,10,1823.56,15,15500.26
2023-01-21,SmartBiz Inc,Custom Development,East,Carol Davis,3,14567.89,0,43703.67
2023-01-24,NextGen Solutions,Security Suite,Central,David Wilson,5,8945.12,5,42489.32
2023-01-27,Digital Dynamics,Software License,North,Alice Johnson,4,5678.34,10,20442.02
2023-01-30,Enterprise Plus,Cloud Storage,West,Bob Smith,7,1345.67,0,9419.69
2023-02-02,Metro Solutions,Consulting Services,South,Emma Brown,2,9876.54,5,18745.93
2023-02-05,Apex Industries,Hardware,East,Carol Davis,6,3789.23,10,20481.04
2023-02-08,Quantum Corp,Training Package,Central,David Wilson,9,2345.78,0,21111.02
2023-02-11,Zenith Systems,Support Contract,North,Alice Johnson,3,5123.45,15,13064.80
2023-02-14,Acme Corp,Data Analytics Tool,West,Bob Smith,5,6789.12,5,32248.32
2023-02-17,TechStart Inc,API Access,South,Emma Brown,8,1567.89,0,12543.12
2023-02-20,Global Solutions,Custom Development,East,Carol Davis,2,13456.78,10,24222.20
2023-02-23,Innovate Ltd,Security Suite,Central,David Wilson,7,8234.56,5,54868.96
2023-02-26,FutureTech,Software License,North,Alice Johnson,4,6123.45,0,24493.80
2023-03-01,DataDrive Co,Cloud Storage,West,Bob Smith,5,1456.78,10,6555.51
2023-03-04,CloudNine Systems,Consulting Services,South,Emma Brown,3,9345.67,5,26632.16
2023-03-07,SmartBiz Inc,Hardware,East,Carol Davis,8,4012.34,0,32098.72
2023-03-10,NextGen Solutions,Training Package,Central,David Wilson,6,2234.56,15,11396.26
2023-03-13,Digital Dynamics,Support Contract,North,Alice Johnson,2,5345.67,0,10691.34
2023-03-16,Enterprise Plus,Data Analytics Tool,West,Bob Smith,9,7012.34,5,59955.19
2023-03-19,Metro Solutions,API Access,South,Emma Brown,4,1678.90,10,6044.04
2023-03-22,Apex Industries,Custom Development,East,Carol Davis,5,14123.45,0,70617.25
2023-03-25,Quantum Corp,Security Suite,Central,David Wilson,3,8456.78,5,24103.13
2023-03-28,Zenith Systems,Software License,North,Alice Johnson,7,5890.12,10,37184.26
2023-03-31,Acme Corp,Cloud Storage,West,Bob Smith,6,1345.89,0,8075.34
2023-04-03,TechStart Inc,Consulting Services,South,Emma Brown,4,9123.45,5,34668.11
2023-04-06,Global Solutions,Hardware,East,Carol Davis,5,3678.90,15,15635.32
2023-04-09,Innovate Ltd,Training Package,Central,David Wilson,8,2123.45,0,16987.60
2023-04-12,FutureTech,Support Contract,North,Alice Johnson,3,5234.56,10,14143.31
2023-04-15,DataDrive Co,Data Analytics Tool,West,Bob Smith,7,6890.12,5,45778.29
2023-04-18,CloudNine Systems,API Access,South,Emma Brown,9,1567.34,0,14106.06
2023-04-21,SmartBiz Inc,Custom Development,East,Carol Davis,2,13789.23,10,24820.61
2023-04-24,NextGen Solutions,Security Suite,Central,David Wilson,6,8123.45,5,46289.67
2023-04-27,Digital Dynamics,Software License,North,Alice Johnson,4,6012.34,0,24049.36
2023-04-30,Enterprise Plus,Cloud Storage,West,Bob Smith,5,1423.67,15,6050.60
2023-05-03,Metro Solutions,Consulting Services,South,Emma Brown,3,9234.56,5,26316.69
2023-05-06,Apex Industries,Hardware,East,Carol Davis,7,3890.12,0,27230.84
2023-05-09,Quantum Corp,Training Package,Central,David Wilson,10,2234.78,10,20113.02
2023-05-12,Zenith Systems,Support Contract,North,Alice Johnson,4,5123.67,0,20494.68
2023-05-15,Acme Corp,Data Analytics Tool,West,Bob Smith,6,6789.34,5,38699.24
2023-05-18,TechStart Inc,API Access,South,Emma Brown,8,1645.78,10,11849.63
2023-05-21,Global Solutions,Custom Development,East,Carol Davis,3,14012.34,0,42037.02
2023-05-24,Innovate Ltd,Security Suite,Central,David Wilson,5,8234.67,5,39114.68
2023-05-27,FutureTech,Software License,North,Alice Johnson,7,5678.90,10,35837.25
2023-05-30,DataDrive Co,Cloud Storage,West,Bob Smith,4,1390.12,0,5560.48
2023-06-02,CloudNine Systems,Consulting Services,South,Emma Brown,6,9345.12,5,53247.18
2023-06-05,SmartBiz Inc,Hardware,East,Carol Davis,5,3712.34,15,15777.45
2023-06-08,NextGen Solutions,Training Package,Central,David Wilson,9,2156.89,0,19412.01
2023-06-11,Digital Dynamics,Support Contract,North,Alice Johnson,3,5289.01,10,14280.63
2023-06-14,Enterprise Plus,Data Analytics Tool,West,Bob Smith,8,6834.56,5,51942.66
2023-06-17,Metro Solutions,API Access,South,Emma Brown,7,1578.23,0,11047.61
2023-06-20,Apex Industries,Custom Development,East,Carol Davis,2,13678.45,10,24621.21
2023-06-23,Quantum Corp,Security Suite,Central,David Wilson,6,8345.67,5,47570.31
2023-06-26,Zenith Systems,Software License,North,Alice Johnson,4,5923.45,0,23693.80
2023-06-29,Acme Corp,Cloud Storage,West,Bob Smith,5,1456.12,15,6188.51
2023-07-02,TechStart Inc,Consulting Services,South,Emma Brown,3,9178.90,5,26159.87
2023-07-05,Global Solutions,Hardware,East,Carol Davis,8,3845.67,0,30765.36
2023-07-08,Innovate Ltd,Training Package,Central,David Wilson,6,2189.34,10,11839.04
2023-07-11,FutureTech,Support Contract,North,Alice Johnson,7,5178.23,0,36247.61
2023-07-14,DataDrive Co,Data Analytics Tool,West,Bob Smith,4,6923.45,5,26349.11
2023-07-17,CloudNine Systems,API Access,South,Emma Brown,10,1589.67,10,14307.03
2023-07-20,SmartBiz Inc,Custom Development,East,Carol Davis,3,14234.56,0,42703.68
2023-07-23,NextGen Solutions,Security Suite,Central,David Wilson,5,8412.34,5,39958.62
2023-07-26,Digital Dynamics,Software License,North,Alice Johnson,6,5834.12,10,31544.25
2023-07-29,Enterprise Plus,Cloud Storage,West,Bob Smith,4,1378.90,0,5515.60
2023-08-01,Metro Solutions,Consulting Services,South,Emma Brown,7,9289.45,5,61929.92
2023-08-04,Apex Industries,Hardware,East,Carol Davis,5,3723.56,15,15825.09
2023-08-07,Quantum Corp,Training Package,Central,David Wilson,8,2245.67,0,17965.36
2023-08-10,Zenith Systems,Support Contract,North,Alice Johnson,3,5267.89,10,14223.31
2023-08-13,Acme Corp,Data Analytics Tool,West,Bob Smith,9,6845.23,5,58465.71
2023-08-16,TechStart Inc,API Access,South,Emma Brown,6,1623.45,0,9740.70
2023-08-19,Global Solutions,Custom Development,East,Carol Davis,2,13845.67,10,24922.21
2023-08-22,Innovate Ltd,Security Suite,Central,David Wilson,7,8289.01,5,55308.72
2023-08-25,FutureTech,Software License,North,Alice Johnson,4,5945.78,0,23783.12
2023-08-28,DataDrive Co,Cloud Storage,West,Bob Smith,5,1423.56,15,6050.09
2023-08-31,CloudNine Systems,Consulting Services,South,Emma Brown,3,9234.78,5,26316.74
2023-09-03,SmartBiz Inc,Hardware,East,Carol Davis,8,3812.45,0,30499.60
2023-09-06,NextGen Solutions,Training Package,Central,David Wilson,6,2178.90,10,11766.06
